n,prueba,esperado,obtenido,ok
1,recibo con tarjeta: Dr material por obra (total con impuesto) / Cr la tarjeta,lineas=5100:245.37:5415-roberto-9ojv:CO-9:-:- | 2100-9998:-245.37:-:-:-:- camino=puente rol=authenticated quien=dueño papel=apunta estado=contabilizado,lineas=5100:245.37:5415-roberto-9ojv:CO-9:-:- | 2100-9998:-245.37:-:-:-:- camino=puente rol=authenticated quien=dueño papel=apunta estado=contabilizado,true
2,"recibo a cuenta: Cr 2010 por proveedor, partida abierta",lineas=5100:1288.10:5415-roberto-9ojv:-:-:- | 2010:-1288.10:-:-:proveedor:recibos/-3100002 tercero=el supply cxp_abierta=1288.10,lineas=5100:1288.10:5415-roberto-9ojv:-:-:- | 2010:-1288.10:-:-:proveedor:recibos/-3100002 tercero=el supply cxp_abierta=1288.10,true
3,"pagado por banco, y una devolución",banco=5100:60.00:5415-roberto-9ojv:-:-:- | 1010:-60.00:-:-:-:- devolucion=5100:-45.99:5415-roberto-9ojv:-:-:- | 2100-9998:45.99:-:-:-:-,banco=5100:60.00:5415-roberto-9ojv:-:-:- | 1010:-60.00:-:-:-:- devolucion=5100:-45.99:5415-roberto-9ojv:-:-:- | 2100-9998:45.99:-:-:-:-,true
4,reembolso: empleado → 2250 a su nombre; Edgar → 2900,empleado=2250:-30.00:-:-:empleado:recibos/-3100005 a_nombre_de=el empleado dueno=2900:-40.00:-:-:-:recibos/-3100006,empleado=2250:-30.00:-:-:empleado:recibos/-3100005 a_nombre_de=el empleado dueno=2900:-40.00:-:-:-:recibos/-3100006,true
5,trabajo externo: Dr 5200 por obra / Cr 2010 con su partida,lineas=5200:320.00:5415-roberto-9ojv:-:-:- | 2010:-320.00:-:-:proveedor:trabajos_externos/-3100007 tercero=el ayudante,lineas=5200:320.00:5415-roberto-9ojv:-:-:- | 2010:-320.00:-:-:proveedor:trabajos_externos/-3100007 tercero=el ayudante,true
6,factura con retención: Dr 1110 + 1120 / Cr el ingreso de su tipo de obra,lineas=1110:9000.00:5415-roberto-9ojv:-:-:facturas/-3100008 | 1120:1000.00:5415-roberto-9ojv:-:-:facturas/-3100008 | 4010:-10000.00:5415-roberto-9ojv:-:-:- estado=emitida,lineas=1110:9000.00:5415-roberto-9ojv:-:-:facturas/-3100008 | 1120:1000.00:5415-roberto-9ojv:-:-:facturas/-3100008 | 4010:-10000.00:5415-roberto-9ojv:-:-:- estado=emitida,true
7,idempotencia: backfill dos veces y una nota nueva no duplican,asientos=1/0 correr=2_veces_sin_error estado_igual=t,asientos=1/0 correr=2_veces_sin_error estado_igual=t,true
8,un recibo por_leer no se contabiliza (con o sin total),sin_total=espera/por_leer con_total=espera/por_leer asientos=0 bandeja_hoy=0 bandeja_a_los_3_dias=2,sin_total=espera/por_leer con_total=espera/por_leer asientos=0 bandeja_hoy=0 bandeja_a_los_3_dias=2,true
9,"metodo_pago desconocido o vacío: a la bandeja, sin asiento",raro=pendiente/metodo_pago en_bandeja=t dice_el_texto=t vacio=pendiente/metodo_pago asientos=0,raro=pendiente/metodo_pago en_bandeja=t dice_el_texto=t vacio=pendiente/metodo_pago asientos=0,true
10,"una regla en borrador no postea; confirmada, el backfill la contabiliza",borrador=pendiente/categoria_borrador confirmada=contabilizado asientos=1,borrador=pendiente/categoria_borrador confirmada=contabilizado asientos=1,true
11,recibo anulado: reverso espejo (proveedor y partida incluidos),reverso=espejo motivo=anulado vivo=ninguno papel=sin_asiento cxp_partida=cerrada estado=no_aplica,reverso=espejo motivo=anulado vivo=ninguno papel=sin_asiento cxp_partida=cerrada estado=no_aplica,true
12,editar el total de un recibo contabilizado: reverso + sustituto enlazados,reverso=con_cambio sustituto=enlazado monto=247.37 papel=apunta_al_nuevo aviso=contabilizado/impuesto confirma=t libro=t,reverso=con_cambio sustituto=enlazado monto=247.37 papel=apunta_al_nuevo aviso=contabilizado/impuesto confirma=t libro=t,true
13,"borrar un recibo del libro: rechazado con qué hacer; uno que nunca entró, sí",app=MX003 dice_que_hacer=t editor=MX003 reversado=MX003 nunca_entro=borrado/sin_rastro_en_la_bandeja misma_transaccion=sin_rastro,app=MX003 dice_que_hacer=t editor=MX003 reversado=MX003 nunca_entro=borrado/sin_rastro_en_la_bandeja misma_transaccion=sin_rastro,true
14,"anular: total en 0 con ✎, o fn_recibo_anular con su motivo",total_cero=2/1:no_aplica/total_cero papel=se_queda anular=2/1:no_aplica/anulado motivo_escrito=t estado=anulado,total_cero=2/1:no_aplica/total_cero papel=se_queda anular=2/1:no_aplica/anulado motivo_escrito=t estado=anulado,true
15,guardarraíl: nada antes del corte entra por puente,recibo=no_aplica/antes_del_corte factura=no_aplica/antes_del_corte externo=no_aplica/antes_del_corte correr_desde=2026-10-01 asientos_de_puente_antes_del_corte=0 cobro=MX002,recibo=no_aplica/antes_del_corte factura=no_aplica/antes_del_corte externo=no_aplica/antes_del_corte correr_desde=2026-10-01 asientos_de_puente_antes_del_corte=0 cobro=MX002,true
16,"documento tardío: al primer día del mes abierto, con la nota",tardio=2026-11-01/2026-11/normal nota=t corregido: reverso=2026-11-01 sustituto=2026-11-01/nota=t mes_cerrado_intacto=t,tardio=2026-11-01/2026-11/normal nota=t corregido: reverso=2026-11-01 sustituto=2026-11-01/nota=t mes_cerrado_intacto=t,true
17,tardío de un ejercicio anterior: ajuste_cpa de su mes,tipo=ajuste_cpa afecta=2026-12 fecha=2027-01-01 periodo=2027-01 motivo=t,tipo=ajuste_cpa afecta=2026-12 fecha=2027-01-01 periodo=2027-01 motivo=t,true
18,cobro parcial y cobro de la retención,parcial=1010:4000.00:-:-:-:- | 1110:-4000.00:5415-roberto-9ojv:-:-:facturas/-3100040 abierto=5000.00/1000.00 retencion=1010:1000.00:-:-:-:- | 1120:-1000.00:5415-roberto-9ojv:-:-:facturas/-3100040 abierto=5000.00/0.00 retencion_de_mas=MX008 libro=5000.00/5000.00 app=f/0.00,parcial=1010:4000.00:-:-:-:- | 1110:-4000.00:5415-roberto-9ojv:-:-:facturas/-3100040 abierto=5000.00/1000.00 retencion=1010:1000.00:-:-:-:- | 1120:-1000.00:5415-roberto-9ojv:-:-:facturas/-3100040 abierto=5000.00/0.00 retencion_de_mas=MX008 libro=5000.00/5000.00 app=f/0.00,true
19,un cobro de dos facturas con descuento; lo que no cabe se rechaza,lineas=1010:4950.00:-:-:-:- | 1110:-3000.00:5415-roberto-9ojv:-:-:facturas/-3100042 | 4010:50.00:5415-roberto-9ojv:-:-:- | 1110:-2000.00:5415-roberto-9ojv:-:-:facturas/-3100041 saldos=0.00/0.00 de_mas=MX008 no_suma=MX001 milesimas=MX005 anular_cobrada=MX008,lineas=1010:4950.00:-:-:-:- | 1110:-3000.00:5415-roberto-9ojv:-:-:facturas/-3100042 | 4010:50.00:5415-roberto-9ojv:-:-:- | 1110:-2000.00:5415-roberto-9ojv:-:-:facturas/-3100041 saldos=0.00/0.00 de_mas=MX008 no_suma=MX001 milesimas=MX005 anular_cobrada=MX008,true
20,"anticipo: a favor del cliente, se aplica, y se anula con el cobro",anticipo=-1500.00 aplicado=-500.00/0.00 de_mas=MX008 anulado=0.00/1000.00/anulado editar=MX003 borrar=MX003,anticipo=-1500.00 aplicado=-500.00/0.00 de_mas=MX008 anulado=0.00/1000.00/anulado editar=MX003 borrar=MX003,true
21,"marcar pagada: cobrado = monto como siempre, y sin dinero en el libro",cobrado=800.00 asientos=1/0 aviso=t nace_pagada=500.00/1/0,cobrado=800.00 asientos=1/0 aviso=t nace_pagada=500.00/1/0,true
22,factura contabilizada: no se edita ni se borra; se anula con nota de crédito,monto=MX003/dice_como pagada=ok borrar=MX003 nc=NC-2026-0001 espejo=t factura_viva=t saldo=0.00 estado=anulada volver=MX003,monto=MX003/dice_como pagada=ok borrar=MX003 nc=NC-2026-0001 espejo=t factura_viva=t saldo=0.00 estado=anulada volver=MX003,true
23,"factura en borrador: espera; emitida, entra; no vuelve a borrador",borrador=espera/borrador:0/0 emitida=contabilizado:1/0 volver=MX003,borrador=espera/borrador:0/0 emitida=contabilizado:1/0 volver=MX003,true
24,la llave del teléfono: el doble toque entra una vez,segundo=23505 sin_llave=2 cambiar_llave=MX003,segundo=23505 sin_llave=2 cambiar_llave=MX003,true
25,"horas: el equipo reporta, Edgar aprueba; ni un dólar en el libro",reporta=-3100300 asientos_nuevos=0 aprobar=1/8.5 por=dueño vista=2026-10/8.5/1 rastro=aprobada,reporta=-3100300 asientos_nuevos=0 aprobar=1/8.5 por=dueño vista=2026-10/8.5/1 rastro=aprobada,true
26,horas: nadie se aprueba solo; corregir lo aprobado tumba la aprobación,autoaprobarse=42501 corregir_aprobada=ok aprobacion=se_cayo rastro=aprobada>invalidada,autoaprobarse=42501 corregir_aprobada=ok aprobacion=se_cayo rastro=aprobada>invalidada,true
