control,ok,detalle
libro · hash,true,"{""asientos"":0,""alterados"":[]}"
libro · enlace,true,"{""rotos"":[]}"
libro · numeracion,true,"{""con_huecos"":[]}"
libro · contadores,true,"{""descuadrados"":[]}"
libro · cuadre,true,"{""descuadrados"":[],""lineas_sin_cabecera"":0}"
libro · reversos,true,"{""malos"":[]}"
libro · periodos,true,"{""tocados"":[],""apertura"":[],""cerrados"":0,""cerrados_antes_de_terminar"":[],""fuera_de_orden_o_con_hueco"":[]}"
libro · triggers,true,"{""fallan"":[],""huellas"":[]}"
libro · cuentas,true,"{""cuentas"":88,""sin_rastro"":[]}"
libro · permisos,true,"{""fallan"":[]}"
puentes · triggers,true,"{""fallan"":[],""triggers_de_la_app"":[]}"
puentes · documentos,true,"{""fallan"":[]}"
puentes · sin_evaluar,true,"{""arreglo"":null,""papeles"":[]}"
puentes · bandeja,true,"{""errores"":[],""por_estado"":{""no_aplica"":5}}"
puentes · reglas,true,"{""mal"":[],""nota"":""Una regla en borrador no postea: el papel espera en la bandeja hasta que Edgar la confirma (fn_mapeo_confirmar)."",""en_borrador"":{""categoria"":21,""metodo_pago"":35,""tipo_proyecto"":0}}"
puentes · use_tax,true,"{""asientos_de_recibo_en_use_tax"":[]}"
puentes · mano_de_obra,true,"{""regla"":""La mano de obra directa solo entra por el journal de nómina (f11) o, la 5000, por el devengo estándar reversible de fn_horas_devengar (5000 contra 2210); 5001, solo por el journal. Un ajuste_cpa no la exime, salvo el de un ejercicio anterior o una reclasificación entre costos y gastos. El burden de obra (5010), solo por reparto desde sus bolsas (5011, 5015); las bolsas, desde el journal, desde 1410 (la prima de WC) o contra una factura por pagar (2010, 2050), nunca pagadas directo del banco."",""asientos"":[]}"
puentes · partidas,true,"{""fallan"":[]}"
puentes · devengo,true,"{""fallan"":[],""cerrados_con_horas_cambiadas"":[]}"
puentes · duplicados,true,"{""fallan"":[],""pendientes"":0}"
puentes · cuentas_inactivas,true,"{""fallan"":[],""retenidos"":0}"
puentes · vistas,true,"{""fallan"":[]}"
puentes · papel,true,"{""nota"":""La foto de un recibo (recibos/) y los documentos (docs/) del almacén fotos no se borran, no se mueven y no se reemplazan por la API: los protegen las policies restrictivas «el papel no se borra» (DELETE) y «el papel no se mueve» (UPDATE)."",""faltan"":[],""arreglo"":null}"
